Total number of files  : 5442
Total number of chunks : 1
Total size of Files    :       1371574056 Bytes | 1,277 GB
Total size of Slices   :                0 Bytes | 0,000 B
Total size Downloaded  :                0 Bytes | 0,000 B

Compression Method      : Deflate
Version                 : 0
GameVersion             : 
Is Require Patch        : False
Is file compressed      : False
Chunk Version           : 1
Legacy Installer        : 

Max(?) Slice Size       : 1048576 (Depracted)
Padded Slice Size:      : 0 (Depracted)
Is encrypted            : False (Depracted)


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 | Slice Size | FileName
983F0AE297C2E508166C835233648FCFDEEE8EBB |     331825 | AsyncNet.dll
E49E9F00800B77873D3510D206F3D66F7CAEA344 |     155697 | AVIMaker.dll
9F5719ACC507CB0894FAE54FCF474D2C9B0FA9E1 |     426031 | Common.dll
B4615068234BCF50718B4FE2D88111C663C660D4 |     147503 | Cosmos.dll
BFF126346A5443BDE3F286852A9D9D5E4D230AD6 |    1003571 | DXRenderer.dll
B01F68E4AF5CD848F5981346CC6F9E68BA13FC43 |     307250 | edObjects.dll
B9319C2409121AD92B4914AF19923A0BBADC936B |     675890 | edTerrain.dll
9E7D3A703C50DC7DF2B3CDD7B040E8C4A4BC521B |     618544 | Effects.dll
AEEADF6D8157CE7A6A6F896089CCBFB16436D6B6 |      49203 | Explosions.dll
D7846A51EC5AD0FA0173A4EF501FF9AD182E434B |     176128 | ExtractTextures.exe
DE9173CBB5B534005989EDD0E3EB4CC44221E403 |     118831 | Flight.dll
CD6D99E7A4AEFEA51E7EC8DC0E232D7F7CFAE3BA |     356401 | Graphics.dll
D488F896BB4EAD22D1756D7872E4FE0458B3B938 |     327731 | GraphicsXP.dll
F8EA1BFC9FA9879874E9E9865710851D54927943 |     712750 | Input.dll
15E2D40B00DF834C4850F4206AE62705FA53F654 |      24576 | Inter.dll
C1140FCACFF55F5F8D0FD9E4279A6BB072464253 |    3301423 | LockOn.exe
5B7A057643C8A43AD5B097C6B2588B23763DF126 |    3301423 | LockOn.exe
B4950D0F2E4E408A95C277A990751834259DC5C0 |    3301423 | LockOn.exe
6701A88C6E181C090D757D130914EA6889FDDE2D |    3301423 | LockOn.exe
F78E7E6D2A808FEC83286EFB52D281127AC3190D |      45056 | Mail.dll
82910D6439158A306F037E1B2763BBBD01AE4C04 |     466988 | Map.dll
ECDA039BA3FED082805DFA35E9009BAB99F19938 |     200704 | Math.dll
D6B0CE4F3570DC11B40B111F2E70C724B136D56F |    2179126 | MissionEditor.dll
998C681C13FF008C22AE6F2B50C3BB13B902062A |    2179126 | MissionEditor.dll
FBECA36B989AFB3C7A3E27E4BD09E178FA330B7E |    2179126 | MissionEditor.dll
2A7E43B39D354A38A3DF78E17A16C18E1402353C |     790582 | MitkaGraphics.dll
5B2B9A6C79D9FA1D4F3F0F2DEBC12EA14FD9D3DC |    2977836 | MOM.dll
8A9FBA760EEFB7B45EF3FFB08689945442B7CB87 |    2977836 | MOM.dll
40A822D109E7ADAD80B5E195425F1263CDA3901B |    2977836 | MOM.dll
6EAFCC2FDFDF73ABEA334AC7AFB903829F6FF2A6 |     401462 | msvcp60.dll
0973BCB679892289D2BCFB81D7EE454628C3BAFD |     286773 | msvcrt.dll
2DE44B179249571363F53B29813B6F51A42388A1 |     606260 | MultiPlayer.dll
2CBAA14940344A3212BCD41693AB6BDF4B2C2D51 |     311346 | NetSystem.dll
5B4361459E3B731D402B9E43AA1185FEBA124F9C |      49152 | ogg.dll
F6EF1080061BC3C94C4429A7D001DE9FB0849505 |     319537 | Operator.dll
F18CE0952D0F2AE9D7CEBAA9E39D92EB32BA3E1D |     163888 | Options.dll
2BFD367395765D7B36C2329900BD3EDD45BC0149 |      51712 | Readme.doc
417E99DCA1277B76D3383C4BA99C4243672209C8 |      11603 | Readme.txt
1AC176D0841292A620A96DBFE942722D7A396E04 |     180278 | RenderEffects.dll
845483B5E16F1A9C45CDFC1DA479D82F3063C92F |     864302 | Sound.dll
67B60BF1D07FADF5E3E0D6DDBCF4D392AD9B1265 |     434224 | Terrain.dll
743735BE48A55DEF406786E630B8A1FABEEBA4AF |    1224758 | UserInterface.dll
58B597BC6A2632CD1CAA6A634C5DB43782010C4E |    1224758 | UserInterface.dll
965778EF7858E0C6AD7BF5E79F897787FE559229 |     102448 | Weapons.dll
DF44189C5CC74C71D594D410479654ED98268C9C |     438320 | Weather.dll
F4786C2B9865F913DD88440D3FBD78D2225C33B2 |     393261 | View.dll
CA65673471CCE5B6F32E58C5907767002BDC22C8 |     151603 | Visualizer.dll
3ADD5C8C44BB92FA7C043F3A09B697C5EC6F1612 |     974848 | vorbis.dll
7BF5BC6F73C5E45045D881534AE45B6EF12A29E8 |      28672 | vorbisfile.dll
D2114FD3C7D597E021B2D26904364F7BB7D551F1 |      65582 | World.dll
73BE41A29EC170315380262ECF29B1CDA1DF549F |     139317 | WorldGeneral.dll
E1C69DE935C04CD1AD4ECCC781E3CC803E2A9AC4 |     131123 | WorldSmall.dll
E2358B02750002961397A2B81B15434D83B0523F |      53295 | WRadio.dll
2835A621ECD4D2ADE862FA8E04875C3A2B9B641D |      73728 | zlib.dll
4177BDDF98A4FD45888FC06227B0EB37FF50DE6D |     512049 | ZweiBlau.dll
56687615D7079CE415481233A9C223C6E1DE54B9 |       9216 | AsyncNet/default.net
7E5B8D0A101F7A53814A0821A1253876B6551F38 |        332 | AsyncNet/network.cfg
34DB06F0BAB90C9333A5C00EFD6904EC5AEAD180 |       8421 | Bazar/BombTable.sht
38134282242F09B007B6F1C491B772AE29B10B15 |      10445 | Bazar/ContainerTable.sht
6B86CD46E968D0113AE2A808A840A4F4EBB43B83 |       6780 | Bazar/ForestTable.sht
