"83","5661CE9422ECCCD33EA0D213DC54BDAF7484B169","0000-00-00",5076,11222642124,2632707532,2721111389,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","app.ico",155772,155772,147481,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","EndWarGDF.dll",222672,222672,172632,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","FirewallInstallHelper.dll",54280,54280,28239,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","GameuxInstallHelper.dll",96776,96776,49011,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","msvcr100d.dll",1505104,1505104,575926,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Tom Clancy's EndWar Launcher.exe",168552,168552,155020,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\binkw32.dll",173056,173056,97148,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\eax.dll",139264,139264,57158,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\EndWar.exe",30664360,30664360,11750769,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\Gfd.dll",12240,12240,6738,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\uplay_r1_loader.dll",440488,440488,152514,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\uplay32.dll",22184,22184,13487,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\wxRC\EndWar.xrc",182684,182684,8485,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\wxRC\EndWarPhysics.xrc",16539,16539,1495,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Binaries\wxRC\EndWarWizards.xrc",8162,8162,735,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\BaseEditor.ini",15627,15627,2583,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\BaseEngine.ini",6679,6679,2209,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\BaseGame.ini",1014,1014,545,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\BaseInput.ini",7309,7309,1644,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\BaseOnline.ini",367,367,188,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\BaseSound.ini",20947,20947,3872,1
"5661CE9422ECCCD33EA0D213DC54BDAF7484B169","Engine\Config\DARE.INI",50,50,55,1
